datetime_open,datetime_close,symbol,side,entry,exit,sl,tp,reason,pnl_abs,pnl_pct,R,hold_min
2025-10-15 22:05,2025-10-15 22:15,SAND/USDT:USDT,short,0.188972,0.184210,0.191240,0.184210,TP,3.7215,1.8273,2.07,10
2025-10-16 07:35,2025-10-16 07:40,LDO/USDT:USDT,short,0.859428,0.869402,0.869228,0.838848,SL,-1.9298,-0.9573,-1.05,5
2025-10-16 07:35,2025-10-16 09:00,NEAR/USDT:USDT,short,2.525495,2.486000,2.549209,2.475695,trailing,1.4879,0.7327,1.62,85
2025-10-16 07:35,2025-10-16 09:30,NEAR/USDT:USDT,short,2.525495,2.475695,2.549209,2.475695,TP,1.8863,0.9203,2.06,115
2025-10-16 13:55,2025-10-16 14:00,CRV/USDT:USDT,short,0.510898,0.515001,0.514898,0.502498,SL,-1.9860,-0.9795,-1.08,5
2025-10-16 13:35,2025-10-16 14:05,ATOM/USDT:USDT,short,3.163367,3.183004,3.182367,3.123467,SL,-2.0301,-1.0113,-1.10,30
2025-10-19 10:15,2025-10-19 10:40,STX/USDT:USDT,short,0.453809,0.448709,0.456238,0.448709,TP,3.6603,1.7920,2.03,25
2025-10-21 20:30,2025-10-21 21:25,GALA/USDT:USDT,short,0.011038,0.011030,0.011102,0.010903,breakeven,0.0865,0.0424,0.05,55
2025-10-25 06:50,2025-10-25 06:55,FET/USDT:USDT,long,0.292859,0.290979,0.291037,0.296684,SL,-2.0141,-0.9967,-1.10,5
2025-11-09 13:25,2025-11-09 13:35,IMX/USDT:USDT,short,0.429314,0.433844,0.433757,0.419984,SL,-1.9253,-0.9622,-1.06,10
2025-11-11 12:25,2025-11-11 12:35,RENDER/USDT:USDT,short,1.943611,1.954145,1.953754,1.922311,SL,-2.0089,-1.0149,-1.12,10
2025-11-12 10:05,2025-11-12 10:40,ENS/USDT:USDT,long,12.972594,12.879018,12.881594,13.163694,SL,-1.9328,-0.9866,-1.08,35
2025-11-12 22:20,2025-11-12 22:25,IMX/USDT:USDT,long,0.444089,0.449200,0.441067,0.450434,trailing,1.4375,0.7295,1.63,5
2025-11-12 22:20,2025-11-12 22:30,INJ/USDT:USDT,long,7.721544,7.829844,7.669973,7.829844,TP,3.5956,1.7920,2.04,10
2025-11-12 22:20,2025-11-12 22:30,IMX/USDT:USDT,long,0.444089,0.450434,0.441067,0.450434,TP,1.7970,0.8877,2.04,10
2025-11-12 22:20,2025-11-12 22:40,RENDER/USDT:USDT,long,2.466493,2.446575,2.447065,2.507293,SL,-1.8954,-0.9451,-1.08,20
2025-11-14 06:20,2025-11-14 06:55,TIA/USDT:USDT,short,1.004399,0.990194,1.011163,0.990194,TP,3.6846,1.8051,2.04,35
2025-11-14 09:55,2025-11-14 10:00,RENDER/USDT:USDT,short,2.240552,2.252216,2.251766,2.217002,SL,-2.0584,-1.0195,-1.12,5
2025-11-15 22:15,2025-11-15 22:30,IMX/USDT:USDT,long,0.469094,0.466043,0.466137,0.475304,SL,-1.9891,-0.9955,-1.09,15
2025-11-17 13:25,2025-11-17 13:35,ADA/USDT:USDT,long,0.571714,0.568508,0.568621,0.578209,SL,-1.9966,-1.0100,-1.11,10
2025-11-18 21:20,2025-11-18 21:25,SUI/USDT:USDT,short,1.863027,1.873945,1.873570,1.840887,SL,-1.9689,-1.0066,-1.11,5
2025-11-19 19:20,2025-11-19 19:45,LTC/USDT:USDT,long,98.159628,99.547128,97.498914,99.547128,TP,3.5905,1.8036,2.04,25
2025-11-19 22:50,2025-11-19 23:15,STX/USDT:USDT,short,0.361628,0.364050,0.363978,0.356693,SL,-1.9582,-0.9940,-1.09,25
2025-11-22 12:15,2025-11-22 12:20,UNI/USDT:USDT,long,7.780556,7.710585,7.712127,7.924256,SL,-1.8929,-0.9706,-1.07,5
2025-11-24 20:20,2025-11-24 21:25,SUI/USDT:USDT,short,1.579884,1.591874,1.591555,1.555374,SL,-1.8989,-0.9837,-1.08,65
2025-11-25 20:15,2025-11-25 20:30,SUI/USDT:USDT,short,1.525895,1.534444,1.534138,1.508585,SL,-1.9314,-1.0113,-1.11,15
2025-11-26 22:35,2025-11-26 23:35,ATOM/USDT:USDT,short,2.492501,2.507074,2.506573,2.462951,SL,-1.9025,-1.0069,-1.11,60
2025-12-06 13:05,2025-12-06 13:30,UNI/USDT:USDT,short,5.573885,5.603363,5.602242,5.514335,SL,-1.9022,-1.0177,-1.12,25
